B2,B3,B4,B8,rh98,region
0.0606,0.08605,0.0876,0.2505,8.84000015258789,WesternGhats
0.0553,0.077,0.0748,0.2909,2.690000057220459,WesternGhats
0.0324,0.0523,0.0332,0.2938,13.739999771118164,WesternGhats
0.06745,0.0959,0.0895,0.2612,2.6500000953674316,WesternGhats
0.0325,0.0548,0.0345,0.3001,16.629999,WesternGhats
0.0751,0.10565,0.11855,0.2728,2.6500000953674316,WesternGhats
0.03915,0.063,0.0561,0.2974,13.670000076293945,WesternGhats
0.0333,0.0508,0.0347,0.28,18.760000228881836,WesternGhats
0.0439,0.0607,0.0558,0.2522,16.520000457763672,WesternGhats
0.05925,0.0821,0.11635,0.2479,2.690000057220459,WesternGhats
0.0274,0.04735,0.0268,0.3101,13.90999984741211,WesternGhats
0.03715,0.0517,0.0462,0.19985,17.239999771118164,WesternGhats
0.0399,0.06185,0.04365,0.2705,12.899999618530273,WesternGhats
0.0311,0.0479,0.0287,0.2881,17.010000228881836,WesternGhats
0.03275,0.05225,0.0425,0.2748,10.770000457763672,WesternGhats
0.0353,0.0523,0.0404,0.2439,22.440001,WesternGhats
0.029,0.0487,0.0326,0.2654,23.06999969482422,WesternGhats
0.03005,0.04545,0.03145,0.2304,17.719999,WesternGhats
0.0297,0.0509,0.0264,0.3159,25.809999,WesternGhats
0.0411,0.06655,0.05815,0.3234,8.600000381469727,WesternGhats
0.028,0.0462,0.0256,0.274,25.469999,WesternGhats
0.0342,0.0532,0.03275,0.2789,22.469999,WesternGhats
0.02875,0.0494,0.0329,0.29255,18.739999771118164,WesternGhats
0.0323,0.0612,0.037,0.3372,9.170000076293945,WesternGhats
0.0353,0.0559,0.0387,0.2665,18.440001,WesternGhats
0.03795,0.06075,0.0467,0.2638,3.25,WesternGhats
0.0485,0.0729,0.0772,0.2621,3.549999952316284,WesternGhats
0.0342,0.0518,0.0454,0.246,14.170000076293945,WesternGhats
0.0278,0.0459,0.027,0.2743,13.09000015258789,WesternGhats
0.03125,0.05145,0.0308,0.30075,11.779999732971191,WesternGhats
0.0258,0.0452,0.0249,0.2902,26.670000076293945,WesternGhats
0.043,0.0636,0.067,0.2444,11.140000343322754,WesternGhats
0.0347,0.0532,0.043,0.2571,15.430000305175781,WesternGhats
0.0329,0.0559,0.03845,0.3081,5.889999866485596,WesternGhats
0.0318,0.0505,0.0343,0.2429,35.06999969482422,WesternGhats
0.0357,0.0584,0.0479,0.2756,12.020000457763672,WesternGhats
0.02435,0.04605,0.0252,0.291,18.120001,WesternGhats
0.0286,0.0471,0.028,0.2991,12.449999809265137,WesternGhats
0.0273,0.0467,0.0264,0.2851,21.270000457763672,WesternGhats
0.0436,0.06625,0.0766,0.2407,3.4000000953674316,WesternGhats
0.0349,0.0542,0.0405,0.2838,17.770000457763672,WesternGhats
0.029,0.0504,0.0302,0.33345,13.630000114440918,WesternGhats
0.0247,0.0474,0.0264,0.29975,23.34000015258789,WesternGhats
0.03735,0.05905,0.0444,0.2956,5.019999980926514,WesternGhats
0.035,0.0596,0.0412,0.3402,7.900000095367432,WesternGhats
0.07705,0.1223,0.205,0.31885,6.329999923706055,WesternGhats
